freq(Hz),pow(dB/Hz)
1981.0546875,-16.901603026696435
1991.8212890625,-17.750997061459227
2002.587890625,-19.03934431317309
2013.3544921875,-20.615686410141187
2024.12109375,-21.246921352029815
2034.8876953125,-20.065582251986207
2045.654296875,-17.904923025465592
2056.4208984375,-16.728340700942283
2067.1875,-19.0264919834508
2077.9541015625,-38.048231366205
2088.720703125,-19.2883073438226
2099.4873046875,-14.286198786367502
2110.25390625,-8.933935053429451
2121.0205078125,-1.0645778728708704
2131.787109375,5.27530078369662
2142.5537109375,9.941599709510516
2153.3203125,13.285920961649872
2164.0869140625,15.541474863471866
2174.853515625,16.85778421116979
2185.6201171875,17.330850531780136
2196.38671875,17.012487724013553
2207.1533203125,15.916607958044724
2217.919921875,14.03378559322352
2228.6865234375,11.375481746771197
2239.453125,8.138442835672208
2250.2197265625,5.124266837793358
2260.986328125,3.4606206494687637
2271.7529296875,2.6886653756803747
2282.51953125,1.6900210596243945
2293.2861328125,0.3379384975403674
2304.052734375,-0.5401638773201206
2314.8193359375,-0.31869336510382784
2325.5859375,0.262878097748604
2336.3525390625,0.40811333254214666
2347.119140625,-0.06324136463622405
2357.8857421875,-0.964454139931566
2368.65234375,-1.9794559213406444
2379.4189453125,-2.9726872423946955
2390.185546875,-4.012286143799568
2400.9521484375,-4.925947178717099
2411.71875,-5.486832375044612
2422.4853515625,-6.159780695033339
2433.251953125,-7.319646711314622
2444.0185546875,-7.834050083061534
2454.78515625,-6.941188750037296
2465.5517578125,-6.482680701788652
2476.318359375,-7.570214055530022
2487.0849609375,-9.856640657713653
2497.8515625,-11.129885710696962
2508.6181640625,-10.454968867202496
2519.384765625,-9.785260062063877
2530.1513671875,-9.860722140567782
2540.91796875,-10.893070822323502
2551.6845703125,-12.643780560792292
2562.451171875,-13.322804164902264
2573.2177734375,-12.500165810099539
2583.984375,-12.42988473401757
2594.7509765625,-14.101106634752728
2605.517578125,-16.913797483537977
2616.2841796875,-16.02506779347858
2627.05078125,-12.986811225158707
2637.8173828125,-12.187098292114175
2648.583984375,-14.88947183132142
2659.3505859375,-25.552552678408105
2670.1171875,-18.806478126482553
2680.8837890625,-14.362710756147298
2691.650390625,-14.970679234694693
2702.4169921875,-18.644207824010554
2713.18359375,-23.70990394162222
2723.9501953125,-27.660170745047893
2734.716796875,-17.523785002671726
2745.4833984375,-13.942557377923146
2756.25,-15.082152306899028
2767.0166015625,-14.025100124950995
2777.783203125,-8.234425482044049
2788.5498046875,-5.152504245102662
2799.31640625,-4.360221217767432
2810.0830078125,-5.365240999574352
2820.849609375,-8.077025562725135
2831.6162109375,-11.864945546560662
2842.3828125,-13.132422628853863
2853.1494140625,-12.565727060869769
2863.916015625,-13.11410250930361
2874.6826171875,-13.88712505179367
2885.44921875,-15.622961002789674
2896.2158203125,-15.241156619870512
2906.982421875,-5.945473650245095
2917.7490234375,-0.029572345083399912
2928.515625,3.429319566221432
2939.2822265625,5.330880303422073
2950.048828125,6.26782903610695
2960.8154296875,6.6775266871100944
2971.58203125,6.721098961356954
2982.3486328125,6.211106366568425
2993.115234375,4.720401249683733
3003.8818359375,1.6656288168104094
3014.6484375,-3.56369993763358
3025.4150390625,-7.3422169230990475
3036.181640625,-5.032022245651598
3046.9482421875,-4.337997212688666
3057.71484375,-5.502556513034183
3068.4814453125,-5.4845364236388585
3079.248046875,-2.8602096453284225
3090.0146484375,-1.075362894916385
3100.78125,-0.9033112088939548
3111.5478515625,-1.5379116595002316
3122.314453125,-2.208057194370675
3133.0810546875,-3.6562407911089356
3143.84765625,-7.222438483361911
3154.6142578125,-14.137816861152528
3165.380859375,-24.444650623073755
3176.1474609375,-26.371343491842335
3186.9140625,-20.387275833898208
3197.6806640625,-17.963928669707407
3208.447265625,-18.486881932808835
3219.2138671875,-18.37287384351179
3229.98046875,-19.258165027150767
3240.7470703125,-22.5489227151134
3251.513671875,-20.00493205489249
3262.2802734375,-19.814238625623354
3273.046875,-23.949746194187522
3283.8134765625,-18.374956450194638
3294.580078125,-14.55253017972167
3305.3466796875,-13.117679441224038
3316.11328125,-11.694037218502356
3326.8798828125,-9.262090482852606
3337.646484375,-6.693586841485963
3348.4130859375,-5.013314545194545
3359.1796875,-4.478495545055137
3369.9462890625,-4.782610374864018
3380.712890625,-5.405834911277689
3391.4794921875,-5.922620417209254
3402.24609375,-5.991577863722474
3413.0126953125,-5.29580936003682
3423.779296875,-4.0201393651668695
3434.5458984375,-2.9545054680710985
3445.3125,-2.784425795392056
3456.0791015625,-3.763925231169699
3466.845703125,-5.781525456671703
3477.6123046875,-8.517318690596085
3488.37890625,-11.810314079235752
3499.1455078125,-15.955753288279897
3509.912109375,-20.78892279071298
3520.6787109375,-23.69322020180411
3531.4453125,-20.746230604006193
3542.2119140625,-16.17206664716396
3552.978515625,-14.320513257805025
3563.7451171875,-16.31107736989547
3574.51171875,-28.402649040473193
3585.2783203125,-19.18641424831482
3596.044921875,-13.034523226922271
3606.8115234375,-10.803755755747055
3617.578125,-9.696625926558397
3628.3447265625,-9.51116885469095
3639.111328125,-11.58334787164204
3649.8779296875,-15.068661118306672
3660.64453125,-10.007847620010782
3671.4111328125,-6.489386546135084
3682.177734375,-5.942936539980189
3692.9443359375,-7.319649771907776
3703.7109375,-9.348896982310926
3714.4775390625,-11.448770568042931
3725.244140625,-14.77022555695785
3736.0107421875,-19.415991016413777
3746.77734375,-26.00037208106194
3757.5439453125,-28.557314428467873
3768.310546875,-22.25683188605085
3779.0771484375,-23.375597860377397
3789.84375,-22.31819673328292
3800.6103515625,-12.873554351872318
3811.376953125,-6.938722901476595
3822.1435546875,-3.5948772705569665
3832.91015625,-2.0415861032803564
3843.6767578125,-1.5572751219089636
3854.443359375,-1.3328477374626297
3865.2099609375,-0.7993126539273872
3875.9765625,0.011946473139231643
3886.7431640625,0.7100254749398689
3897.509765625,0.903354018994037
3908.2763671875,0.32541792532847147
3919.04296875,-1.1715170002960529
3929.8095703125,-3.64481356999854
3940.576171875,-6.497841588075417
3951.3427734375,-7.007276752426264
3962.109375,-5.569808413754441
3972.8759765625,-5.082019722335057
3983.642578125,-5.520376588577554
3994.4091796875,-5.477300941155338
4005.17578125,-5.117203123426383
4015.9423828125,-5.465111533684372
4026.708984375,-5.793710697111254
4037.4755859375,-4.674812252002292
4048.2421875,-2.3365408196708257
4059.0087890625,0.16761483971816007
4069.775390625,1.9062270977211047
4080.5419921875,2.453165310215443
4091.30859375,1.6817391666373203
4102.0751953125,-0.5600547909236606
4112.841796875,-3.6198274711239105
4123.6083984375,-2.8821890102026337
4134.375,-0.6135159021437241
4145.1416015625,-1.163704081631388
4155.908203125,-7.209709305276787
4166.6748046875,-5.571286367446502
4177.44140625,3.0598329152469006
4188.2080078125,7.4647771545597585
4198.974609375,10.429362429411075
4209.7412109375,12.492975618018152
4220.5078125,13.46853867566318
4231.2744140625,13.049300913717206
4242.041015625,10.986549178442392
4252.8076171875,7.274566431518833
4263.57421875,2.963293455229292
4274.3408203125,2.1480305792770396
4285.107421875,7.71801900117128
4295.8740234375,13.471923215484248
4306.640625,17.972172612009743
4317.4072265625,21.42177581769122
4328.173828125,23.92933994045869
4338.9404296875,25.571484826853386
4349.70703125,26.476184082853294
4360.4736328125,26.80511783427731
4371.240234375,26.67559066822092
4382.0068359375,26.09853474471674
4392.7734375,25.00982612772362
4403.5400390625,23.364083595222134
4414.306640625,21.219426828910947
4425.0732421875,18.804291151784916
4435.83984375,16.52972665678687
4446.6064453125,14.780342272804388
4457.373046875,13.583807721756509
4468.1396484375,12.699780094727855
4478.90625,11.946697710514764
4489.6728515625,11.282133910197018
4500.439453125,10.737132544567762
