freq(Hz),pow(dB/Hz)
2357.8857421875,-2.6971882699764094
2368.65234375,-0.8243769610682073
2379.4189453125,0.27100115272907965
2390.185546875,1.0001125229943206
2400.9521484375,1.474495431321291
2411.71875,1.2611314771376754
2422.4853515625,0.09659871691541883
2433.251953125,-1.4061105317133546
2444.0185546875,-2.4433149080470584
2454.78515625,-3.6786387321465113
2465.5517578125,-5.752445710209968
2476.318359375,-7.632357414280295
2487.0849609375,-7.568231523532582
2497.8515625,-6.237362185307818
2508.6181640625,-5.552549297684792
2519.384765625,-6.433332273856275
2530.1513671875,-8.614162902065406
2540.91796875,-10.040358032327541
2551.6845703125,-8.553190134167824
2562.451171875,-6.165924218452263
2573.2177734375,-4.9596022985779085
2583.984375,-5.489171977693214
2594.7509765625,-7.530190995833122
2605.517578125,-9.980847797107938
2616.2841796875,-11.219936560093704
2627.05078125,-11.206424265357441
2637.8173828125,-11.047497029117043
2648.583984375,-10.946907680274718
2659.3505859375,-10.970842945225526
2670.1171875,-12.376203939614502
2680.8837890625,-16.247655662182247
2691.650390625,-18.3137831743004
2702.4169921875,-16.821327785981143
2713.18359375,-19.138064461992663
2723.9501953125,-22.236932513469966
2734.716796875,-18.357396336963237
2745.4833984375,-18.944524528941646
2756.25,-21.016193377598075
2767.0166015625,-11.900115137737334
2777.783203125,-6.882975564296615
2788.5498046875,-4.992660444441957
2799.31640625,-5.557874855491827
2810.0830078125,-8.596428097472831
2820.849609375,-14.89721097726925
2831.6162109375,-28.64191728045483
2842.3828125,-28.84545590637608
2853.1494140625,-24.81940005307411
2863.916015625,-20.457712939902706
2874.6826171875,-16.708291568840814
2885.44921875,-13.756508344589752
2896.2158203125,-11.035338129939984
2906.982421875,-8.28007063807476
2917.7490234375,-5.377635821730562
2928.515625,-2.7459786873115
2939.2822265625,-0.8864432346262495
2950.048828125,0.07828785704927593
2960.8154296875,0.3800748770224749
2971.58203125,0.27246140103771915
2982.3486328125,-0.3790391299565401
2993.115234375,-1.938909934635278
3003.8818359375,-4.5258978423054455
3014.6484375,-7.734119789209162
3025.4150390625,-10.703734955410082
3036.181640625,-12.804741958306066
3046.9482421875,-14.158061293495807
3057.71484375,-15.480575643138659
3068.4814453125,-17.6722866293921
3079.248046875,-19.299906640148926
3090.0146484375,-15.500272736702055
3100.78125,-11.62610835995942
3111.5478515625,-9.337480710152569
3122.314453125,-8.05917481646125
3133.0810546875,-7.430386283274086
3143.84765625,-7.416579714790501
3154.6142578125,-8.227735409272459
3165.380859375,-10.301853323355113
3176.1474609375,-13.194393172148843
3186.9140625,-11.862064705925553
3197.6806640625,-8.374788588429633
3208.447265625,-6.26285349994353
3219.2138671875,-5.537395943322244
3229.98046875,-6.021300893941472
3240.7470703125,-7.459173642297103
3251.513671875,-9.49463301123577
3262.2802734375,-11.99331003590206
3273.046875,-14.589230426910568
3283.8134765625,-14.796826475437793
3294.580078125,-12.803244942136763
3305.3466796875,-11.48914779247444
3316.11328125,-11.424389532128746
3326.8798828125,-12.390552899381412
3337.646484375,-13.63138473024151
3348.4130859375,-13.248909525551902
3359.1796875,-10.618062406647287
3369.9462890625,-7.629872156491272
3380.712890625,-5.391426730175468
3391.4794921875,-4.154065830064714
3402.24609375,-3.9319930337639937
3413.0126953125,-4.7329482029847165
3423.779296875,-6.658038548781965
3434.5458984375,-9.93318022527265
3445.3125,-14.768650166293495
3456.0791015625,-20.451240535728523
3466.845703125,-23.481285649352
3477.6123046875,-22.64997738973731
3488.37890625,-20.480874995351858
3499.1455078125,-17.546917300255625
3509.912109375,-14.157020580527895
3520.6787109375,-11.325070525748293
3531.4453125,-9.539296143690523
3542.2119140625,-8.85452466453843
3552.978515625,-9.267224074140223
3563.7451171875,-10.908537485663397
3574.51171875,-14.081929673326721
3585.2783203125,-18.734632532979003
3596.044921875,-21.216204907455154
3606.8115234375,-20.69206312186621
3617.578125,-22.512654942826277
3628.3447265625,-24.528728238556617
3639.111328125,-18.211894873511305
