freq(Hz),pow(dB/Hz)
2788.5498046875,-13.140522593595419
2799.31640625,-12.506531028962511
2810.0830078125,-12.810298463734727
2820.849609375,-13.093173668943498
2831.6162109375,-12.557651811509867
2842.3828125,-11.813965118743265
2853.1494140625,-11.82405504095518
2863.916015625,-13.082795386827295
2874.6826171875,-15.871942417554601
2885.44921875,-19.800240548759664
2896.2158203125,-20.26066391357078
2906.982421875,-17.40731177717708
2917.7490234375,-15.55272472812145
2928.515625,-14.943739875550413
2939.2822265625,-15.419555115998978
2950.048828125,-16.916453126539142
2960.8154296875,-18.6619196394601
2971.58203125,-18.458236593401832
2982.3486328125,-17.352270890024673
2993.115234375,-18.191406795420495
3003.8818359375,-23.31013002506655
3014.6484375,-28.099167614774146
3025.4150390625,-19.95652404183209
3036.181640625,-18.86640959771796
3046.9482421875,-24.821126130769414
3057.71484375,-20.62270655206556
3068.4814453125,-12.623055405920876
3079.248046875,-9.190998836322287
3090.0146484375,-8.016936824214701
3100.78125,-8.501011437511455
3111.5478515625,-10.642475513728098
3122.314453125,-14.172962012757495
3133.0810546875,-12.83759267078717
3143.84765625,-8.098271894720677
3154.6142578125,-5.110833387210022
3165.380859375,-3.7246617521221537
3176.1474609375,-3.5738170257611483
3186.9140625,-4.371610548205319
3197.6806640625,-5.761453014353468
3208.447265625,-7.2302047072254
3219.2138671875,-8.170763713856136
3229.98046875,-7.966578239348159
3240.7470703125,-6.548687501783805
3251.513671875,-4.952389506957056
3262.2802734375,-4.2381151288717
3273.046875,-5.034292779240723
3283.8134765625,-8.007002445840879
3294.580078125,-14.555823918712708
3305.3466796875,-16.438099098126578
3316.11328125,-11.050399346939653
3326.8798828125,-9.13513481669262
3337.646484375,-8.891762589017652
3348.4130859375,-9.274894656009714
3359.1796875,-10.20167895696655
3369.9462890625,-12.880993016867944
3380.712890625,-22.125233802787477
3391.4794921875,-18.856706479945323
3402.24609375,-10.882588520933776
3413.0126953125,-8.277122664093957
3423.779296875,-7.804763193494115
3434.5458984375,-8.532002667173796
3445.3125,-10.299171613832211
3456.0791015625,-13.318591019776512
3466.845703125,-17.11727551487612
3477.6123046875,-19.026544880924828
3488.37890625,-18.522609479150567
3499.1455078125,-17.085000948158672
3509.912109375,-14.386877312191967
3520.6787109375,-11.722702673210614
3531.4453125,-10.525210947666972
3542.2119140625,-11.46185569793673
3552.978515625,-15.452428276834038
3563.7451171875,-26.260627602603467
3574.51171875,-21.921291214102382
3585.2783203125,-17.67952261022274
3596.044921875,-17.33350276125038
3606.8115234375,-16.460634045262484
3617.578125,-13.524629284652136
3628.3447265625,-11.009684734356197
3639.111328125,-9.564300256725069
3649.8779296875,-8.831411794160376
3660.64453125,-8.318875474087012
3671.4111328125,-7.776434363451714
3682.177734375,-7.335492283618207
3692.9443359375,-7.323749115376393
3703.7109375,-8.16606921824591
3714.4775390625,-10.395141104477002
3725.244140625,-14.580151998274893
3736.0107421875,-20.077520422727186
3746.77734375,-24.572593302889555
3757.5439453125,-31.70933513772003
3768.310546875,-15.805163008730062
3779.0771484375,-10.070470547087409
3789.84375,-7.783738101315266
3800.6103515625,-8.105771441348885
3811.376953125,-11.80550489812008
3822.1435546875,-21.346136888905004
3832.91015625,-11.068221855095626
3843.6767578125,-6.053626947297666
3854.443359375,-4.177447549455602
3865.2099609375,-4.073935742032441
3875.9765625,-4.964955063566773
3886.7431640625,-6.041535504088325
3897.509765625,-7.402701478074651
3908.2763671875,-10.687287161284553
3919.04296875,-18.637028435813598
3929.8095703125,-13.80999989664178
3940.576171875,-8.808990300287306
3951.3427734375,-7.200566342072861
3962.109375,-7.1106845486167325
3972.8759765625,-7.456398588822639
3983.642578125,-7.696899769079904
3994.4091796875,-8.224719710749072
4005.17578125,-10.223155384346738
4015.9423828125,-16.33619085973786
4026.708984375,-19.54033110429195
4037.4755859375,-9.144797539523033
4048.2421875,-4.6449340060146085
4059.0087890625,-2.278955661516365
4069.775390625,-1.198410657323061
4080.5419921875,-1.0971850344107248
4091.30859375,-1.6825724320981834
4102.0751953125,-2.351971291150309
4112.841796875,-2.4593500126103827
4123.6083984375,-2.230294926859306
4134.375,-2.444991859932707
4145.1416015625,-3.7503456649161993
4155.908203125,-6.836700300536963
4166.6748046875,-13.025760440376711
4177.44140625,-24.04172150495001
4188.2080078125,-21.86381446828756
4198.974609375,-21.516602807928898
4209.7412109375,-16.58459950609128
4220.5078125,-13.691052089427869
4231.2744140625,-14.903762754116894
4242.041015625,-21.85631975635818
4252.8076171875,-16.522924375777418
4263.57421875,-9.995750495377166
4274.3408203125,-6.849114637788069
4285.107421875,-5.194186952312169
4295.8740234375,-4.241980146083763
4306.640625,-3.6809691554299864
4317.4072265625,-3.5955670221925145
4328.173828125,-4.27822187778104
4338.9404296875,-5.9618296020838795
4349.70703125,-8.584784730316535
4360.4736328125,-11.586697986873574
4371.240234375,-13.904376562861698
4382.0068359375,-13.489365193441444
4392.7734375,-10.90407613200276
4403.5400390625,-9.323074073866687
4414.306640625,-9.759507517474555
4425.0732421875,-11.436730287662815
4435.83984375,-10.046012065513137
4446.6064453125,-6.69968368744891
4457.373046875,-4.485360456403281
4468.1396484375,-3.404027802846623
4478.90625,-3.1319995156202944
4489.6728515625,-3.2824434053636837
4500.439453125,-3.050948291526761
4511.2060546875,-2.06566480371994
4521.97265625,-1.2889663695926932
4532.7392578125,-1.66791097546248
4543.505859375,-3.6805598713342365
4554.2724609375,-7.468795950947353
4565.0390625,-11.05339786852314
4575.8056640625,-11.645070243334937
4586.572265625,-13.439801177213042
4597.3388671875,-18.891716692870265
4608.10546875,-18.268770040474656
4618.8720703125,-10.634236994371353
4629.638671875,-5.532250738187803
4640.4052734375,-2.3092004925476632
4651.171875,-0.7401972334079526
4661.9384765625,-0.4197607449121576
4672.705078125,-0.8466279993250331
4683.4716796875,-1.9029343006746804
4694.23828125,-3.4814200892754026
4705.0048828125,-5.028529227088644
4715.771484375,-5.683218016809343
4726.5380859375,-4.936097528626309
4737.3046875,-4.883162781672269
4748.0712890625,-6.568161285044686
4758.837890625,-8.477202351408458
4769.6044921875,-7.215707956558904
4780.37109375,-1.796288520922207
4791.1376953125,2.0133708427835426
4801.904296875,3.2422539594972037
4812.6708984375,2.304524829589746
4823.4375,-0.13790361413524552
4834.2041015625,-3.065286218399681
4844.970703125,-4.773905835411108
4855.7373046875,-4.058214484826067
4866.50390625,-3.565888228737127
4877.2705078125,-3.910649195693562
4888.037109375,-2.844055564496636
4898.8037109375,-1.5581362695903358
4909.5703125,-2.219631275894674
4920.3369140625,-5.5222346338016965
4931.103515625,-11.712922302590671
4941.8701171875,-8.90525807325178
4952.63671875,-3.029060685485768
4963.4033203125,-0.07667863954267057
4974.169921875,0.6006940286948992
4984.9365234375,-0.6892022377695495
4995.703125,-3.5319909430169147
5006.4697265625,-6.178099934056982
5017.236328125,-5.3120636866784485
5028.0029296875,-2.7806021054043195
5038.76953125,-1.4790320463816569
5049.5361328125,-2.34950194899734
5060.302734375,-5.80333038123304
5071.0693359375,-7.794331366339312
5081.8359375,-4.235556621705173
5092.6025390625,-2.1969120267565154
5103.369140625,-1.5323925596524997
5114.1357421875,-0.93155708344103
5124.90234375,-0.014933186031700494
5135.6689453125,0.7594666611852581
5146.435546875,1.0524120146123255
5157.2021484375,0.7519553020401364
5167.96875,-0.05526487666824614
