,individuals,tipo,dB 1er armónico - F0
140,B,alfa,-0.2708061330364906
141,B,alfa,21.632886265205578
142,B,alfa,-11.380646639743007
143,B,alfa,6.832862177783957
144,B,alfa,30.863586317447936
145,B,alfa,5.30840718217512
146,B,alfa,3.956267959592715
147,B,alfa,24.074989870218445
148,B,alfa,-7.147728033250914
149,B,alfa,2.88811891881231
150,B,alfa,26.807737771028446
151,B,alfa,-4.216550266074691
152,B,alfa,-1.0811458416588167
153,B,alfa,30.101717469189683
154,B,alfa,2.6683054379341407
155,B,alfa,3.6353072421275776
156,B,alfa,15.991163282460738
157,B,alfa,2.9803716385049355
158,B,alfa,-0.05521277610615116
159,B,alfa,20.97840835945541
160,B,alfa,-15.150216523247535
161,B,alfa,4.8221615246302925
162,B,beta,-7.235793575103026
163,B,beta,-8.293315560626533
164,B,beta,-3.3267141253354118
165,B,beta,-7.469988533399054
166,B,beta,-10.001794434649485
167,B,beta,-11.85527065143272
168,B,beta,-7.469988533399054
169,B,beta,-10.001794434649485
170,B,beta,-11.85527065143272
171,B,beta,12.289838558208992
172,B,beta,-7.38301210766651
173,B,beta,-20.285353563984774
174,B,beta,22.056628811240202
175,B,beta,-2.7970331832067092
176,B,beta,-25.47022111856263
177,B,beta,-3.4868361453475565
178,B,beta,-17.726128937578316
179,B,beta,-15.610092412454843
180,B,beta,22.056628811240202
181,B,beta,-2.7970331832067092
182,B,beta,-25.47022111856263
183,B,beta,4.834634791110837
184,B,beta,-24.812414709641374
185,B,beta,-15.772063291640254
186,B,beta,-7.469988533399054
187,B,beta,-10.001794434649485
188,B,beta,-11.85527065143272
189,B,beta,4.834634791110837
190,B,beta,-24.812414709641374
191,B,beta,-15.772063291640254
192,B,beta,-10.610271277977137
193,B,beta,-9.247174751120625
194,B,beta,-4.586292301816185
195,B,beta,4.785742441607756
196,B,beta,-17.132268819831502
197,B,beta,-9.366258998389544
198,B,beta,0.7444786413135267
199,B,beta,-1.2286932514743742
200,B,beta,-16.050370700953934
201,B,beta,-7.235793575103026
202,B,beta,-8.293315560626533
203,B,beta,-3.3267141253354118
204,B,beta,13.082415319369291
205,B,beta,-12.99308484619528
206,B,beta,-19.818330144159233
207,B,beta,12.289838558208992
208,B,beta,-7.38301210766651
