,individuals,tipo,dB 1er armónico - F0
192,B,beta,-8.786700143159365
193,B,beta,-4.516920999748537
194,B,beta,3.968427899369119
195,B,beta,-16.94310292323211
196,B,beta,-8.832568375531876
197,B,beta,0.7897979570744198
198,B,beta,-1.4165731326656363
199,B,beta,-15.318230524487301
200,B,beta,-7.4371956367173535
201,B,beta,-8.288286020701543
202,B,beta,-0.13701517833790078
203,B,beta,12.80989227991875
204,B,beta,-12.968092721858294
205,B,beta,-18.502833284735004
206,B,beta,10.853510423193592
207,B,beta,-8.461798169872992
208,B,beta,-18.57061101232426
209,B,beta,16.162643409480573
210,B,beta,4.340564270419582
211,B,beta,-0.8673958035136131
212,B,beta,0.7897979570744198
213,B,beta,-1.4165731326656363
214,B,beta,-15.318230524487301
215,B,beta,-2.406253145884465
216,B,beta,-16.49341426904284
217,B,beta,16.162643409480573
218,B,beta,4.340564270419582
219,B,beta,-0.8673958035136131
220,B,beta,3.968427899369119
221,B,beta,-16.94310292323211
222,B,beta,-8.832568375531876
223,B,beta,3.968427899369119
224,B,beta,-16.94310292323211
225,B,beta,-8.832568375531876
226,B,beta,10.853510423193592
227,B,beta,-8.461798169872992
228,B,beta,-18.57061101232426
229,B,beta,-10.686941656273664
230,B,beta,-8.786700143159365
231,B,beta,-4.516920999748537
232,B,beta,3.1751531355821405
233,B,beta,-24.12928105282549
234,B,beta,-15.62933540802986
235,B,beta,12.80989227991875
236,B,beta,-12.968092721858294
237,B,beta,-18.502833284735004
238,B,beta,5.486999395425474
239,B,beta,-10.35832218569033
240,B,beta,-16.074322669535263
241,B,beta,18.251074409882833
242,B,beta,-6.827844272590066
243,B,beta,-25.647383694602617
244,B,beta,-7.4371956367173535
245,B,beta,-8.288286020701543
246,B,beta,-0.13701517833790078
247,B,beta,-2.406253145884465
248,B,beta,-16.49341426904284
249,B,beta,5.486999395425474
250,B,beta,-10.35832218569033
251,B,beta,-16.074322669535263
252,B,beta,0.7897979570744198
253,B,beta,-1.4165731326656363
254,B,beta,-15.318230524487301
255,B,beta,-10.686941656273664
256,B,beta,-8.786700143159365
257,B,beta,-4.516920999748537
258,B,beta,12.80989227991875
259,B,beta,-12.968092721858294
260,B,beta,-18.502833284735004
261,B,beta,5.486999395425474
262,B,beta,-10.35832218569033
263,B,beta,-16.074322669535263
264,B,beta,16.162643409480573
265,B,beta,4.340564270419582
266,B,beta,-0.8673958035136131
267,19,alfa,-0.3518610406054421
268,19,alfa,38.29115936910025
269,19,alfa,-3.464391898823415
270,19,alfa,5.176819744067018
271,19,alfa,38.95325661900634
272,19,alfa,-3.0821872935496266
273,19,alfa,9.42634846170995
274,19,alfa,34.80654805794876
275,19,alfa,-5.490639072064253
276,19,alfa,3.7805245353394703
277,19,alfa,39.892037925136336
278,19,alfa,-5.615497041249146
279,19,alfa,1.6983747370474447
280,19,alfa,32.03947991300261
281,19,alfa,-4.3462199871394205
282,19,alfa,3.29427491430323
283,19,alfa,33.279988718129374
284,19,alfa,-8.14626266912773
285,19,alfa,5.429025495407249
286,19,alfa,42.633669063530654
287,19,alfa,-3.9749778561191924
288,19,alfa,5.378448303690117
289,19,alfa,34.58597349119908
290,19,alfa,-5.017663467632824
291,19,alfa,0.4155707275080722
292,19,alfa,41.00009156153451
293,19,alfa,-5.79846940595232
294,19,alfa,11.580442301956955
295,19,alfa,38.34094006869363
296,19,alfa,-2.8473483387904945
297,19,alfa,7.031076426194769
298,19,alfa,35.242618772060254
299,19,alfa,-7.396884872388142
300,19,alfa,2.8024766287188196
301,19,alfa,37.7648223172838
302,19,alfa,3.1830817999312124
303,19,alfa,-5.578195915556629
304,19,alfa,33.80739523551084
305,19,alfa,6.825354576634954
306,19,alfa,-9.639515349639343
307,19,alfa,6.410847909634404
308,19,alfa,40.19922985256635
309,19,alfa,-1.7885565912890051
310,19,alfa,2.4161708354572617
311,19,alfa,33.0376805568893
312,19,alfa,-2.8933415842804617
313,19,alfa,-0.8493478616622845
314,19,alfa,35.447753635364926
315,19,alfa,-3.355059499159065
316,19,alfa,6.526303032666103
317,19,alfa,34.39278090563935
318,19,alfa,29.047817609648867
319,19,alfa,33.592054362468105
320,19,alfa,28.94990167719507
321,19,alfa,27.44955699510205
322,19,alfa,23.08858728991136
323,19,alfa,18.619741972099693
324,19,alfa,13.526112249914855
325,19,alfa,10.37728123322152
326,19,alfa,5.7713924906177425
327,19,alfa,3.3223218944355075
328,19,alfa,2.870147824781659
329,19,alfa,2.238132923457897
330,19,alfa,1.0506189505818533
331,19,alfa,0.9966115228881876
332,19,alfa,-4.112445363256189
333,19,alfa,-3.1797709766525486
334,19,alfa,-6.006704856794888
335,19,alfa,-6.405799945536737
336,19,alfa,-12.658868720729844
337,19,alfa,-16.670536169624757
338,19,alfa,-16.638149543254503
339,19,alfa,7.908221218893157
340,19,beta,6.6002027229647995
341,19,beta,-16.83540649357712
342,19,beta,-7.23860194118011
343,19,beta,9.233717608318837
344,19,beta,-11.145164883653093
345,19,beta,5.698550501314964
346,19,beta,1.776029818856375
347,19,beta,-11.129853449191451
348,19,beta,-1.0101938734473883
349,19,beta,9.835947606856017
350,19,beta,-15.108208889238929
351,19,beta,2.655852046825139
352,19,beta,8.34208136554713
353,19,beta,-11.081336021397755
354,19,beta,-9.528214647240194
355,19,beta,7.991361827159211
356,19,beta,-15.075624120890694
357,19,beta,-15.046239920027068
358,19,beta,14.358288747506762
359,19,beta,-11.326709367716308
360,19,beta,-17.893531492886172
361,19,beta,6.25344644153081
362,19,beta,-13.9599769459586
363,19,beta,-3.986404109633714
364,19,beta,10.623546130335288
365,19,beta,-12.868434062129642
366,19,beta,3.167543259343981
367,19,beta,1.967677769893001
368,19,beta,-7.3615475923037375
369,19,beta,18.380852841709352
370,19,beta,-3.43436130074271
371,19,beta,-24.58806618698845
372,19,beta,0.96755085996866
373,19,beta,4.537803078503023
374,19,beta,-7.132727668902411
375,19,beta,-11.723792024503318
376,19,beta,8.680799764071422
377,19,beta,-10.39819704987468
378,19,beta,-2.996739220920066
379,19,beta,14.655077065150959
380,19,beta,-0.9644528774412837
381,19,beta,-24.418801426287608
382,19,beta,7.639479325282755
383,19,beta,14.360114488399475
384,19,beta,-10.510439658864179
385,19,beta,-17.540214479966554
386,19,beta,2.3195181281806514
387,19,beta,-19.329801806090604
388,19,beta,-3.090962661860118
389,19,beta,13.071791163466553
390,19,beta,-8.674165295139947
391,19,beta,-19.186321917209263
392,19,beta,6.805454072234484
393,19,beta,-14.003298709173674
394,19,beta,-2.2176605821972517
395,19,beta,11.060643671676504
396,19,beta,-6.850732499028295
397,19,beta,-20.55530331773803
398,19,beta,11.066646635471999
399,19,beta,-14.124337950190949
400,19,beta,-2.913776095266881
401,19,beta,7.986841478119448
402,19,beta,-9.923940447606796
403,19,beta,-10.954084211428395
404,19,beta,4.808497289107858
405,19,beta,-9.35183760344608
406,19,beta,6.930237565945044
407,19,beta,5.175851660486158
408,19,beta,-8.89183919797848
409,19,beta,-12.130895126157501
410,19,beta,17.08379261416661
411,19,beta,-16.842169788868617
412,19,beta,-6.853426143558787
413,23,alfa,23.513563582643727
414,23,alfa,-3.6209634069642505
415,23,alfa,-11.964623982710142
416,23,alfa,22.063518356719392
417,23,alfa,2.2843805642369617
418,23,alfa,-9.824091079612344
419,23,alfa,23.272168812512504
420,23,alfa,-1.3853594900719095
421,23,alfa,-11.535202266846998
422,23,alfa,23.3458304928719
423,23,alfa,-2.2898171866056707
424,23,alfa,-12.634021093026487
425,23,alfa,25.217820918927853
426,23,alfa,3.469126394405656
427,23,alfa,-14.009789645015836
428,23,alfa,27.010861773616078
429,23,alfa,-6.275025547403892
430,23,alfa,-9.952772249102617
